expt	item	interference	position	word	region	grammatical	iteration
gug	14	b	0	The	D1	RemovedV1	0
gug	14	b	1	defence	N1	RemovedV1	0
gug	14	b	2	who	R1	RemovedV1	0
gug	14	b	3	the	D2	RemovedV1	0
gug	14	b	4	knife	N2	RemovedV1	0
gug	14	b	5	that	R2	RemovedV1	0
gug	14	b	6	the	D3	RemovedV1	0
gug	14	b	7	spy	N3	RemovedV1	0
gug	14	b	8	surprised	V2	RemovedV1	0
gug	14	b	9	convinced	V3	RemovedV1	0
gug	14	b	10	the	D4	RemovedV1	0
gug	14	b	11	judge.	N4	RemovedV1	0
gug	14	b	0	The	D1	RemovedV2	0
gug	14	b	1	defence	N1	RemovedV2	0
gug	14	b	2	who	R1	RemovedV2	0
gug	14	b	3	the	D2	RemovedV2	0
gug	14	b	4	knife	N2	RemovedV2	0
gug	14	b	5	that	R2	RemovedV2	0
gug	14	b	6	the	D3	RemovedV2	0
gug	14	b	7	spy	N3	RemovedV2	0
gug	14	b	8	looked_at	V1	RemovedV2	0
gug	14	b	9	convinced	V3	RemovedV2	0
gug	14	b	10	the	D4	RemovedV2	0
gug	14	b	11	judge.	N4	RemovedV2	0
gug	7	a	0	The	D1	RemovedV2	0
gug	7	a	1	pharmacist	N1	RemovedV2	0
gug	7	a	2	who	R1	RemovedV2	0
gug	7	a	3	the	D2	RemovedV2	0
gug	7	a	4	optician	N2	RemovedV2	0
gug	7	a	5	that	R2	RemovedV2	0
gug	7	a	6	the	D3	RemovedV2	0
gug	7	a	7	stranger	N3	RemovedV2	0
gug	7	a	8	saw	V1	RemovedV2	0
gug	7	a	9	questioned	V3	RemovedV2	0
gug	7	a	10	the	D4	RemovedV2	0
gug	7	a	11	customer.	N4	RemovedV2	0
gug	16	b	0	The	D1	RemovedV2	0
gug	16	b	1	painter	N1	RemovedV2	0
gug	16	b	2	who	R1	RemovedV2	0
gug	16	b	3	the	D2	RemovedV2	0
gug	16	b	4	film	N2	RemovedV2	0
gug	16	b	5	that	R2	RemovedV2	0
gug	16	b	6	the	D3	RemovedV2	0
gug	16	b	7	friend	N3	RemovedV2	0
gug	16	b	8	liked	V1	RemovedV2	0
gug	16	b	9	admired	V3	RemovedV2	0
gug	16	b	10	the	D4	RemovedV2	0
gug	16	b	11	poet.	N4	RemovedV2	0
gug	15	a	0	The	D1	full	0
gug	15	a	1	cousin	N1	full	0
gug	15	a	2	who	R1	full	0
gug	15	a	3	the	D2	full	0
gug	15	a	4	brother	N2	full	0
gug	15	a	5	that	R2	full	0
gug	15	a	6	the	D3	full	0
gug	15	a	7	peasant	N3	full	0
gug	15	a	8	described	V1	full	0
gug	15	a	9	pleased	V2	full	0
gug	15	a	10	hated	V3	full	0
gug	15	a	11	the	D4	full	0
gug	15	a	12	uncle.	N4	full	0
gug	15	b	0	The	D1	RemovedV2	0
gug	15	b	1	cousin	N1	RemovedV2	0
gug	15	b	2	who	R1	RemovedV2	0
gug	15	b	3	the	D2	RemovedV2	0
gug	15	b	4	diamond	N2	RemovedV2	0
gug	15	b	5	that	R2	RemovedV2	0
gug	15	b	6	the	D3	RemovedV2	0
gug	15	b	7	peasant	N3	RemovedV2	0
gug	15	b	8	described	V1	RemovedV2	0
gug	15	b	9	hated	V3	RemovedV2	0
gug	15	b	10	the	D4	RemovedV2	0
gug	15	b	11	uncle.	N4	RemovedV2	0
gug	3	a	0	The	D1	RemovedV1	0
gug	3	a	1	worker	N1	RemovedV1	0
gug	3	a	2	who	R1	RemovedV1	0
gug	3	a	3	the	D2	RemovedV1	0
gug	3	a	4	tenant	N2	RemovedV1	0
gug	3	a	5	that	R2	RemovedV1	0
gug	3	a	6	the	D3	RemovedV1	0
gug	3	a	7	foreman	N3	RemovedV1	0
gug	3	a	8	injured	V2	RemovedV1	0
gug	3	a	9	questioned	V3	RemovedV1	0
gug	3	a	10	the	D4	RemovedV1	0
gug	3	a	11	shepherd.	N4	RemovedV1	0
gug	2	b	0	The	D1	RemovedV2	0
gug	2	b	1	mother	N1	RemovedV2	0
gug	2	b	2	who	R1	RemovedV2	0
gug	2	b	3	the	D2	RemovedV2	0
gug	2	b	4	gun	N2	RemovedV2	0
gug	2	b	5	that	R2	RemovedV2	0
gug	2	b	6	the	D3	RemovedV2	0
gug	2	b	7	sister	N3	RemovedV2	0
gug	2	b	8	found	V1	RemovedV2	0
gug	2	b	9	greeted	V3	RemovedV2	0
gug	2	b	10	the	D4	RemovedV2	0
gug	2	b	11	grandmother.	N4	RemovedV2	0
gug	10	b	0	The	D1	RemovedV2	0
gug	10	b	1	artist	N1	RemovedV2	0
gug	10	b	2	who	R1	RemovedV2	0
gug	10	b	3	the	D2	RemovedV2	0
gug	10	b	4	computer	N2	RemovedV2	0
gug	10	b	5	that	R2	RemovedV2	0
gug	10	b	6	the	D3	RemovedV2	0
gug	10	b	7	guard	N3	RemovedV2	0
gug	10	b	8	shouted_at	V1	RemovedV2	0
gug	10	b	9	instructed	V3	RemovedV2	0
gug	10	b	10	the	D4	RemovedV2	0
gug	10	b	11	newscaster.	N4	RemovedV2	0
gug	16	b	0	The	D1	full	0
gug	16	b	1	painter	N1	full	0
