rate	version	filenum	counter	word	position	score	performance	learning_rate	entropy_weight	memRate	lr_decay	dual_learning_rate	momentum	replicates	predictionLoss	reconstructionLoss
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	0	0.11	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	1	0.66	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	2	0.6	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	3	0.62	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	4	0.51	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	5	0.61	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	6	0.64	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	7	0.56	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	8	0.57	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	9	0.57	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	10	0.67	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	11	0.54	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	12	0.58	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	13	0.53	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	14	0.67	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	15	0.63	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	16	0.71	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	17	0.64	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	18	0.59	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	19	0.62	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	the 	20	0.64	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	0	0.11	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	1	0.88	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	2	0.79	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	3	0.78	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	4	0.7	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	5	0.76	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	6	0.83	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	7	0.75	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	8	0.76	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	9	0.74	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	10	0.83	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	11	0.72	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	12	0.78	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	13	0.71	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	14	0.81	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	15	0.82	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	16	0.84	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	17	0.81	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	18	0.78	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	19	0.78	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	was 	20	0.84	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	that 	0	0.11	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	that 	1	0.96	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	that 	2	0.92	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	that 	3	0.89	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
-1.0	_SuperLong_WithAutoencoder.py	491469421	40	that 	4	0.86	3.926094602878724	None	0.0	0.8496	1.0	0.1	0.7	12.0	3.848147936269357	0.07878626478509985
